Level 1,Level 2,Level 3,Level 4,Level 5,Level 6
1: Frontal_Lobe (Frontal),2: anterior_cingulate_gyrus (ACgG),3: anterior_cingulate_cortex (ACC),4: area_32 (area_32),4: area_32 (area_32),4: area_32 (area_32)
1: Frontal_Lobe (Frontal),2: anterior_cingulate_gyrus (ACgG),3: anterior_cingulate_cortex (ACC),5: subgenual_cortex (area_25),5: subgenual_cortex (area_25),5: subgenual_cortex (area_25)
1: Frontal_Lobe (Frontal),2: anterior_cingulate_gyrus (ACgG),3: anterior_cingulate_cortex (ACC),6: area_24 (area_24),7: areas_24a_and_24b (area_24a/b),8: area_24a (area_24a)
1: Frontal_Lobe (Frontal),2: anterior_cingulate_gyrus (ACgG),3: anterior_cingulate_cortex (ACC),6: area_24 (area_24),7: areas_24a_and_24b (area_24a/b),9: area_24b (area_24b)
1: Frontal_Lobe (Frontal),2: anterior_cingulate_gyrus (ACgG),3: anterior_cingulate_cortex (ACC),6: area_24 (area_24),10: area_24c (area_24c),10: area_24c (area_24c)
1: Frontal_Lobe (Frontal),2: anterior_cingulate_gyrus (ACgG),11: midcingulate_cortex (MCC),11: midcingulate_cortex (MCC),12: areas_24a'_and_24b' (area_24a/b_prime),13: area_24a' (area_24a_prime)
1: Frontal_Lobe (Frontal),2: anterior_cingulate_gyrus (ACgG),11: midcingulate_cortex (MCC),11: midcingulate_cortex (MCC),12: areas_24a'_and_24b' (area_24a/b_prime),14: area_24b' (area_24b_prime)
1: Frontal_Lobe (Frontal),2: anterior_cingulate_gyrus (ACgG),11: midcingulate_cortex (MCC),11: midcingulate_cortex (MCC),15: area_24c' (area_24c_prime),15: area_24c' (area_24c_prime)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),17: medial_orbital_frontal_cortex (med_OFC),18: frontal_pole (area_10),18: frontal_pole (area_10),19: rostral_medial_frontal_pole (area_10mr)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),17: medial_orbital_frontal_cortex (med_OFC),18: frontal_pole (area_10),18: frontal_pole (area_10),20: caudal_medial_frontal_pole (area_10mc)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),17: medial_orbital_frontal_cortex (med_OFC),18: frontal_pole (area_10),18: frontal_pole (area_10),21: orbital_frontal_pole (area_10o)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),17: medial_orbital_frontal_cortex (med_OFC),22: gyrus_rectus (area_14),22: gyrus_rectus (area_14),23: rostral_gyrus_rectus (area_14r)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),17: medial_orbital_frontal_cortex (med_OFC),22: gyrus_rectus (area_14),22: gyrus_rectus (area_14),24: caudal_gyrus_rectus (area_14c)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),25: lateral_orbital_frontal_cortex (lat_OFC),26: areas_11_and_13 (areas_11/13),27: area_11 (area_11),28: medial_area_11 (area_11m)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),25: lateral_orbital_frontal_cortex (lat_OFC),26: areas_11_and_13 (areas_11/13),27: area_11 (area_11),29: lateral_area_11 (area_11l)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),25: lateral_orbital_frontal_cortex (lat_OFC),26: areas_11_and_13 (areas_11/13),30: area_13 (area_13),31: areas_13a_and_13b (area_13a/b)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),25: lateral_orbital_frontal_cortex (lat_OFC),26: areas_11_and_13 (areas_11/13),30: area_13 (area_13),31: areas_13a_and_13b (area_13a/b)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),25: lateral_orbital_frontal_cortex (lat_OFC),26: areas_11_and_13 (areas_11/13),30: area_13 (area_13),32: medial_area_13 (area_13m)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),25: lateral_orbital_frontal_cortex (lat_OFC),26: areas_11_and_13 (areas_11/13),30: area_13 (area_13),33: lateral_area_13 (area_13l)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),25: lateral_orbital_frontal_cortex (lat_OFC),34: medial_and_orbital_area_12 (area_12m/o),34: medial_and_orbital_area_12 (area_12m/o),35: medial_area_12 (area_12m)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),25: lateral_orbital_frontal_cortex (lat_OFC),34: medial_and_orbital_area_12 (area_12m/o),34: medial_and_orbital_area_12 (area_12m/o),36: orbital_area_12 (area_12o)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),37: caudal_orbital_frontal_cortex (caudal_OFC),38: agranular_orbitofrontal_cortex (OFa-p),39: medial_agranular_insular_region (Iam/Iapm),39: medial_agranular_insular_region (Iam/Iapm)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),37: caudal_orbital_frontal_cortex (caudal_OFC),38: agranular_orbitofrontal_cortex (OFa-p),39: medial_agranular_insular_region (Iam/Iapm),39: medial_agranular_insular_region (Iam/Iapm)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),37: caudal_orbital_frontal_cortex (caudal_OFC),38: agranular_orbitofrontal_cortex (OFa-p),40: lateral_agranular_insular_region (lat_Ia),41: intermediate_agranular_insula_area (Iai)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),37: caudal_orbital_frontal_cortex (caudal_OFC),38: agranular_orbitofrontal_cortex (OFa-p),40: lateral_agranular_insular_region (lat_Ia),42: lateral_agranular_insula_area (Ial)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),37: caudal_orbital_frontal_cortex (caudal_OFC),38: agranular_orbitofrontal_cortex (OFa-p),40: lateral_agranular_insular_region (lat_Ia),43: posterior_lateral_agranular_insula_area (Iapl)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),37: caudal_orbital_frontal_cortex (caudal_OFC),44: primary_olfactory_cortex (OLF),44: primary_olfactory_cortex (OLF),45: anterior_olfactory_cortex (AON/TTv)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),37: caudal_orbital_frontal_cortex (caudal_OFC),44: primary_olfactory_cortex (OLF),44: primary_olfactory_cortex (OLF),45: anterior_olfactory_cortex (AON/TTv)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),37: caudal_orbital_frontal_cortex (caudal_OFC),44: primary_olfactory_cortex (OLF),44: primary_olfactory_cortex (OLF),45: anterior_olfactory_cortex (AON/TTv)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),37: caudal_orbital_frontal_cortex (caudal_OFC),44: primary_olfactory_cortex (OLF),44: primary_olfactory_cortex (OLF),46: posterior_olfactory_cortex (OT/Pir)
1: Frontal_Lobe (Frontal),16: orbital_frontal_cortex (OFC),37: caudal_orbital_frontal_cortex (caudal_OFC),44: primary_olfactory_cortex (OLF),44: primary_olfactory_cortex (OLF),46: posterior_olfactory_cortex (OT/Pir)
