Level 1,Level 2,Level 3,Level 4,Level 5,Level 6
1: telencephalon (tel),2: lateral_and_ventral_pallium (LVPal),3: lateral_pallium (LPal),4: claustrum (Cl),4: claustrum (Cl),4: claustrum (Cl)
1: telencephalon (tel),2: lateral_and_ventral_pallium (LVPal),5: ventral_pallium (VPal),6: endopiriform_claustrum (En),7: dorsal_endopiriform_claustrum (DEn),7: dorsal_endopiriform_claustrum (DEn)
1: telencephalon (tel),2: lateral_and_ventral_pallium (LVPal),5: ventral_pallium (VPal),6: endopiriform_claustrum (En),8: ventral_endopiriform_claustrum (VEn),8: ventral_endopiriform_claustrum (VEn)
1: telencephalon (tel),2: lateral_and_ventral_pallium (LVPal),5: ventral_pallium (VPal),9: piriform_cortex (Pir),9: piriform_cortex (Pir),9: piriform_cortex (Pir)
1: telencephalon (tel),10: medial_pallium (MPal),11: hippocampal_formation (HF),11: hippocampal_formation (HF),12: hippocampus (Hi),12: hippocampus (Hi)
1: telencephalon (tel),10: medial_pallium (MPal),11: hippocampal_formation (HF),11: hippocampal_formation (HF),13: subicular_complex (S),13: subicular_complex (S)
1: telencephalon (tel),10: medial_pallium (MPal),11: hippocampal_formation (HF),11: hippocampal_formation (HF),14: fimbria (fi),14: fimbria (fi)
1: telencephalon (tel),10: medial_pallium (MPal),15: fornix (f),15: fornix (f),15: fornix (f),15: fornix (f)
1: telencephalon (tel),16: amygdala (Amy),17: pallial_amygdala (pAmy),18: ventropallial_amygdala (vpAmy),19: basomedial_amygdaloid_nucleus (BM),19: basomedial_amygdaloid_nucleus (BM)
1: telencephalon (tel),16: amygdala (Amy),17: pallial_amygdala (pAmy),18: ventropallial_amygdala (vpAmy),20: ventral_cortical_amygdaloid_nucleus (VCo),20: ventral_cortical_amygdaloid_nucleus (VCo)
1: telencephalon (tel),16: amygdala (Amy),17: pallial_amygdala (pAmy),18: ventropallial_amygdala (vpAmy),21: amygdalohippocampal_area (AHi),21: amygdalohippocampal_area (AHi)
1: telencephalon (tel),16: amygdala (Amy),17: pallial_amygdala (pAmy),22: lateropallial_amygdala (lpAmy),23: lateral_amygdaloid_nucleus (La),24: lateral_dorsal_amygdaloid_nucleus (LaD)
1: telencephalon (tel),16: amygdala (Amy),17: pallial_amygdala (pAmy),22: lateropallial_amygdala (lpAmy),23: lateral_amygdaloid_nucleus (La),25: lateral_ventral_amygdaloid_nucleus (LaV)
1: telencephalon (tel),16: amygdala (Amy),17: pallial_amygdala (pAmy),22: lateropallial_amygdala (lpAmy),26: amygdalopiriform_transition_area (APir),26: amygdalopiriform_transition_area (APir)
1: telencephalon (tel),16: amygdala (Amy),17: pallial_amygdala (pAmy),22: lateropallial_amygdala (lpAmy),27: basolateral_amygdaloid_nucleus (BL),28: basolateral_dorsal_amygdaloid_nucleus (BLD)
1: telencephalon (tel),16: amygdala (Amy),17: pallial_amygdala (pAmy),22: lateropallial_amygdala (lpAmy),27: basolateral_amygdaloid_nucleus (BL),29: basolateral_intermediate_amygdaloid_nucleus (BLI)
1: telencephalon (tel),16: amygdala (Amy),17: pallial_amygdala (pAmy),22: lateropallial_amygdala (lpAmy),27: basolateral_amygdaloid_nucleus (BL),30: basolateral_ventral_amygdaloid_nucleus (BLV)
1: telencephalon (tel),16: amygdala (Amy),17: pallial_amygdala (pAmy),22: lateropallial_amygdala (lpAmy),31: paralaminar_amygdaloid_nucleus (PaL),31: paralaminar_amygdaloid_nucleus (PaL)
1: telencephalon (tel),16: amygdala (Amy),32: subpallial_amygdala (spAmy),33: striatal_amygdala (stAmy),34: central_amygdaloid_nucleus (Ce),34: central_amygdaloid_nucleus (Ce)
1: telencephalon (tel),16: amygdala (Amy),32: subpallial_amygdala (spAmy),35: medial_amygdala (mAmy),36: medial_amygdaloid_nucleus (Me),36: medial_amygdaloid_nucleus (Me)
1: telencephalon (tel),16: amygdala (Amy),32: subpallial_amygdala (spAmy),35: medial_amygdala (mAmy),37: anterior_amygdaloid_area (AA),37: anterior_amygdaloid_area (AA)
1: telencephalon (tel),16: amygdala (Amy),32: subpallial_amygdala (spAmy),38: pallidal_amygdala (pdAmy),39: extended_amygdala (EA),39: extended_amygdala (EA)
1: telencephalon (tel),16: amygdala (Amy),32: subpallial_amygdala (spAmy),38: pallidal_amygdala (pdAmy),40: posterior_interstitial_nucleus (IPAC),40: posterior_interstitial_nucleus (IPAC)
1: telencephalon (tel),16: amygdala (Amy),32: subpallial_amygdala (spAmy),38: pallidal_amygdala (pdAmy),41: intraamygdaloid_stria_terminalis (STIA),41: intraamygdaloid_stria_terminalis (STIA)
1: telencephalon (tel),42: basal_ganglia (BG),43: striatum (Str),44: dorsal_striatum (DStr),45: caudate (Cd),46: caudate_head (CdH)
1: telencephalon (tel),42: basal_ganglia (BG),43: striatum (Str),44: dorsal_striatum (DStr),45: caudate (Cd),47: caudate_tail (CdT)
1: telencephalon (tel),42: basal_ganglia (BG),43: striatum (Str),44: dorsal_striatum (DStr),48: putamen (Pu),48: putamen (Pu)
1: telencephalon (tel),42: basal_ganglia (BG),43: striatum (Str),44: dorsal_striatum (DStr),49: amygdalostriatal_transition (ASt),49: amygdalostriatal_transition (ASt)
1: telencephalon (tel),42: basal_ganglia (BG),43: striatum (Str),44: dorsal_striatum (DStr),50: internal_capsule (ic),50: internal_capsule (ic)
